Style_No,Pack_Qty,Product,Fabric_Type,Order_Category,Country,Price,Quantity,Pre,Temp,CCI,Order_Month
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,India,1.8,2100,14.03,18.49,100.7772,12
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Japan,1.8,3120,100.46,3.04,99.05020999999999,12
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Mexico,1.8,4860,20.67,17.87,103.4214,12
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,South Korea,1.8,600,10.8,1.25,100.7174,12
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Turkey,1.8,600,84.55,3.22,94.64584,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Australia,1.65,5655,46.67,27.92,100.3343,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,India,1.65,2275,14.03,18.49,100.7772,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Japan,1.65,3380,100.46,3.04,99.05020999999999,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Mexico,1.65,5850,20.67,17.87,103.4214,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,South Korea,1.65,650,10.8,1.25,100.7174,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Sweden,1.65,19565,35.65,-7.95,100.6832,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Turkey,1.65,650,84.55,3.22,94.64584,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,United Kingdom,1.65,19435,122.21,5.41,99.94845,12
ALGOT BODY,2,BODY,RIB,STORE,Poland,1.97,11910,36.03,-1.43,99.55029,12
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.42,150,14.03,18.49,100.7772,12
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.42,1725,69.56,6.21,102.191,12
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Poland,1.42,2385,36.03,-1.43,99.55029,12
ALGOT BODY,3,BODY,RIB,STORE,Colombia,1.87,3234,117.44,25.3,98.19571,12
ALGOT BODY,3,BODY,RIB,STORE,Switzerland,1.87,9768,96.82,0.04,101.0722,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.21,1185,46.67,27.92,100.3343,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,China,1.21,360,9.66,-4.46,103.3074,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.21,13965,14.03,18.49,100.7772,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.21,12525,69.56,6.21,102.191,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,1.21,2400,100.46,3.04,99.05020999999999,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.21,690,20.67,17.87,103.4214,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,South Korea,1.21,1800,10.8,1.25,100.7174,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.21,855,84.55,3.22,94.64584,12
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.44,3175,69.56,6.21,102.191,12
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,1.44,500,100.46,3.04,99.05020999999999,12
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Poland,1.44,5000,36.03,-1.43,99.55029,12
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.44,300,84.55,3.22,94.64584,12
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,United States,1.44,7500,59.97,0.91,97.95181,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.21,5850,14.03,18.49,100.7772,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.21,3339,69.56,6.21,102.191,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Sweden,1.21,9207,35.65,-7.95,100.6832,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.21,243,84.55,3.22,94.64584,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,United Kingdom,1.21,8793,122.21,5.41,99.94845,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.21,455,46.67,27.92,100.3343,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,China,1.21,260,9.66,-4.46,103.3074,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.21,17641,14.03,18.49,100.7772,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.21,9165,69.56,6.21,102.191,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,1.21,923,100.46,3.04,99.05020999999999,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Sweden,1.21,16627,35.65,-7.95,100.6832,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.21,195,84.55,3.22,94.64584,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,United Kingdom,1.21,15873,122.21,5.41,99.94845,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.17,1350,46.67,27.92,100.3343,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.17,1425,14.03,18.49,100.7772,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.17,6825,69.56,6.21,102.191,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,1.17,1200,100.46,3.04,99.05020999999999,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.17,750,20.67,17.87,103.4214,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,South Korea,1.17,1800,10.8,1.25,100.7174,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.17,750,84.55,3.22,94.64584,12
ALGOT 2P CAP,2,CAP,RIB,STORE,China,0.9,320,9.66,-4.46,103.3074,12
ALGOT 2P CAP,2,CAP,RIB,STORE,Colombia,0.9,1344,117.44,25.3,98.19571,12
ALGOT 2P CAP,2,CAP,RIB,STORE,Germany,0.9,1472,54.91,2.34,100.5436,12
ALGOT 2P CAP,2,CAP,RIB,STORE,Turkey,0.9,2496,84.55,3.22,94.64584,12
ALGOT BODY,3,BODY,RIB,ONLINE,India,1.84,726,14.03,18.49,100.7772,12
ALGOT BODY,3,BODY,RIB,ONLINE,Japan,1.84,1386,100.46,3.04,99.05020999999999,12
ALGOT BODY,3,BODY,RIB,ONLINE,Mexico,1.84,1650,20.67,17.87,103.4214,12
ALGOT BODY,3,BODY,RIB,ONLINE,South Korea,1.84,330,10.8,1.25,100.7174,12
ALGOT BODY,3,BODY,RIB,ONLINE,Turkey,1.84,330,84.55,3.22,94.64584,12
ALGOT BODY,2,BODY,RIB,STORE,Poland,1.94,15096,36.03,-1.43,99.55029,12
ALGOT BODY,3,BODY,RIB,STORE,China,1.88,2448,9.66,-4.46,103.3074,12
ALGOT BODY,3,BODY,RIB,STORE,Colombia,1.88,8496,117.44,25.3,98.19571,12
ALGOT BODY,3,BODY,RIB,STORE,Sweden,1.88,17808,35.65,-7.95,100.6832,12
ALGOT BODY,3,BODY,RIB,STORE,Turkey,1.88,2928,84.55,3.22,94.64584,12
ALGOT BODY,3,BODY,RIB,STORE,United Kingdom,1.88,18816,122.21,5.41,99.94845,12
BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.22,1776,46.67,27.92,100.3343,12
BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,China,1.22,720,9.66,-4.46,103.3074,12
BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.22,3168,14.03,18.49,100.7772,12
BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.22,19488,69.56,6.21,102.191,12
BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,1.22,4080,100.46,3.04,99.05020999999999,12
BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.22,2016,20.67,17.87,103.4214,12
BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,South Korea,1.22,2784,10.8,1.25,100.7174,12
BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.22,960,84.55,3.22,94.64584,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,China,1.21,225,9.66,-4.46,103.3074,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.21,18000,14.03,18.49,100.7772,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.21,8019,69.56,6.21,102.191,12
