Style_No,Pack_Qty,Product,Fabric_Type,Order_Category,Country,Price,Quantity,Pre,Temp,CCI,Order_Month
LS RIB SET,1,TROUSERS,RIB,ONLINE,United Kingdom,1.58,12660,122.21,5.41,99.94845,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Australia,1.49,1736,46.67,27.92,100.3343,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,India,1.49,2674,14.03,18.49,100.7772,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Japan,1.49,1904,100.46,3.04,99.05020999999999,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Mexico,1.49,2884,20.67,17.87,103.4214,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Sweden,1.49,6958,35.65,-7.95,100.6832,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Turkey,1.49,700,84.55,3.22,94.64584,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,United Kingdom,1.49,9842,122.21,5.41,99.94845,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,United States,1.49,18200,59.97,0.91,97.95181,12
LS RIB SET,1,TROUSERS,RIB,ONLINE,Australia,1.49,1736,46.67,27.92,100.3343,12
LS RIB SET,1,TROUSERS,RIB,ONLINE,India,1.49,2674,14.03,18.49,100.7772,12
LS RIB SET,1,TROUSERS,RIB,ONLINE,Japan,1.49,1904,100.46,3.04,99.05020999999999,12
